record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1eWAUvZdsgvcgADNA,7272405,new_entry,correction,,,Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid-19 outbreak.,2020-03-27,2020-03-30,,Zimbabwe,ZWE,ZW,,1,,,Anti-Disinformation Measures,,,"",,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,52.1635688245336,51.1384653446466,49.9258686846999,40,https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe,2020-07-06,2020-07-06T15:24:09Z
R_ZyRkxwZwbRYtzARDh,7928262,new_entry,original,,,"In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.7854452014597,50.3483141948984,48.7341917104407,38,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z
R_ZyRkxwZwbRYtzARDj,7928262,new_entry,original,,,"In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.7854452014597,50.3483141948984,48.7341917104407,38,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z
R_ZyRkxwZwbRYtzAREi,7928262,new_entry,original,,,"In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.7854452014597,50.3483141948984,48.7341917104407,38,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z
R_ZyRkxwZwbRYtzARBq,7928262,new_entry,original,,,"In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.7854452014597,50.3483141948984,48.7341917104407,38,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z
R_3flc8mUiL481aBYDj,7021165,new_entry,original,,,"Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,2020-06-05,2020-06-05T12:30:47Z
R_3flc8mUiL481aBYEi,7021165,new_entry,original,,,"Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,2020-06-05,2020-06-05T12:30:47Z
R_3flc8mUiL481aBYBq,7021165,new_entry,original,,,"Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,2020-06-05,2020-06-05T12:30:47Z
R_20rYUSGCmo6PJD3Dj,6126086,new_entry,original,,,"Phased reopening of primary and secondary schools has begun in Zimbabwe. From July 28, grade seven, form four and upper form six classes can resume.",2020-06-10,2020-07-28,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.herald.co.zw/date-for-schools-reopening-set/,2020-06-16,2020-06-16T15:05:30Z
R_20rYUSGCmo6PJD3Ei,6126086,new_entry,original,,,"Phased reopening of primary and secondary schools has begun in Zimbabwe. From July 28, grade seven, form four and upper form six classes can resume.",2020-06-10,2020-07-28,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.herald.co.zw/date-for-schools-reopening-set/,2020-06-16,2020-06-16T15:05:30Z
R_2t0cjq5me82TywjDh,1354609,new_entry,original,,,"Every school and other educational institution (whether
primary, secondary, tertiary or technical and vocational),
except for institutions providing medical training or
research useful for combating COVID-19 shall be
closed in Zimbabwe as of August 20.",2020-08-20,2020-08-20,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,,,,,https://www.veritaszim.net/sites/veritas_d/files/SI%202020-200%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Consolidation%20and%20Amendment%29%20Order%2C%202020.pdf,2020-08-27,2020-08-27T17:48:53Z
R_2t0cjq5me82TywjDj,1354609,new_entry,original,,,"Every school and other educational institution (whether
primary, secondary, tertiary or technical and vocational),
except for institutions providing medical training or
research useful for combating COVID-19 shall be
closed in Zimbabwe as of August 20.",2020-08-20,2020-08-20,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,,,,,https://www.veritaszim.net/sites/veritas_d/files/SI%202020-200%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Consolidation%20and%20Amendment%29%20Order%2C%202020.pdf,2020-08-27,2020-08-27T17:48:53Z
R_2t0cjq5me82TywjEi,1354609,new_entry,original,,,"Every school and other educational institution (whether
primary, secondary, tertiary or technical and vocational),
except for institutions providing medical training or
research useful for combating COVID-19 shall be
closed in Zimbabwe as of August 20.",2020-08-20,2020-08-20,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,,,,,https://www.veritaszim.net/sites/veritas_d/files/SI%202020-200%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Consolidation%20and%20Amendment%29%20Order%2C%202020.pdf,2020-08-27,2020-08-27T17:48:53Z
R_2t0cjq5me82TywjBq,1354609,new_entry,original,,,"Every school and other educational institution (whether
primary, secondary, tertiary or technical and vocational),
except for institutions providing medical training or
research useful for combating COVID-19 shall be
closed in Zimbabwe as of August 20.",2020-08-20,2020-08-20,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,,,,,https://www.veritaszim.net/sites/veritas_d/files/SI%202020-200%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Consolidation%20and%20Amendment%29%20Order%2C%202020.pdf,2020-08-27,2020-08-27T17:48:53Z
R_2wKMyUN8jSKC80WDj,3002172,new_entry,original,,,"The Zimbabwean minister of information has announced the re-opening of schools for primary and secondary non-exam sitting classes. The first group is meant to resume classes on 26 October 2020. The second group is expected to be in class on 09 November 2020. This is a bid to lift restrictions on closure and regulation of schools.

",2020-09-23,2020-10-26,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://www.moneyweb.co.za/news-fast-news/zimbabwe-to-gradually-re-open-schools-from-october-26/,2020-09-23,2020-09-23T19:19:20Z
R_2wKMyUN8jSKC80WEi,3002172,new_entry,original,,,"The Zimbabwean minister of information has announced the re-opening of schools for primary and secondary non-exam sitting classes. The first group is meant to resume classes on 26 October 2020. The second group is expected to be in class on 09 November 2020. This is a bid to lift restrictions on closure and regulation of schools.

",2020-09-23,2020-10-26,,Zimbabwe,ZWE,ZW,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://www.moneyweb.co.za/news-fast-news/zimbabwe-to-gradually-re-open-schools-from-october-26/,2020-09-23,2020-09-23T19:19:20Z
