record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2uWHdFucdcup0bADi,7330782,new_entry,correction,,,"On March 18, the Democratic Republic of the Congo Government announced that would close schools and universities until April 17.",2020-03-18,2020-03-18,2020-04-17,Democratic Republic of the Congo,COD,CD,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Democratic Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,54.4476159621263,53.4726607633928,52.593840257012,170,https://cd.usembassy.gov/covid-19-information/,2020-09-18,2020-09-18T20:42:49Z
R_2uWHdFucdcup0bADk,7330782,new_entry,correction,,,"On March 18, the Democratic Republic of the Congo Government announced that would close schools and universities until April 17.",2020-03-18,2020-03-18,2020-04-17,Democratic Republic of the Congo,COD,CD,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Democratic Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,54.4476159621263,53.4726607633928,52.593840257012,170,https://cd.usembassy.gov/covid-19-information/,2020-09-18,2020-09-18T20:42:49Z
R_2uWHdFucdcup0bAEj,7330782,new_entry,correction,,,"On March 18, the Democratic Republic of the Congo Government announced that would close schools and universities until April 17.",2020-03-18,2020-03-18,2020-04-17,Democratic Republic of the Congo,COD,CD,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Democratic Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,54.4476159621263,53.4726607633928,52.593840257012,170,https://cd.usembassy.gov/covid-19-information/,2020-09-18,2020-09-18T20:42:49Z
R_2uWHdFucdcup0bABr,7330782,new_entry,correction,,,"On March 18, the Democratic Republic of the Congo Government announced that would close schools and universities until April 17.",2020-03-18,2020-03-18,2020-04-17,Democratic Republic of the Congo,COD,CD,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",Democratic Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,54.4476159621263,53.4726607633928,52.593840257012,170,https://cd.usembassy.gov/covid-19-information/,2020-09-18,2020-09-18T20:42:49Z
R_3QDWTu0tydAITKcNA,9771130,new_entry,correction,,,"The Democratic Republic of the Congo's provincial government of Nord Kivu imposed a 14-day confinement on the eastern city of Goma, effective May 20, 2020. The provisions of which include a police-enforced mandatory curfew from 8:00 pm to 5:00 am. The police have limited movement within city limits by setting up roadblocks as well as by detaining or imposing fines [20,000 to 200,000 Congolese francs ($11 to $110)] on those found in violation of the new curfew.",2020-05-19,2020-05-20,2020-06-02,Democratic Republic of the Congo,COD,CD,Provincial,0,Nord Kivu,,Curfew,,,"",Democratic Republic of the Congo,,,Nord Kivu,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Provincial/State Government,Police",,,,,https://cg.usembassy.gov/covid-19-information/,2020-12-27,2020-12-27T15:28:14Z
R_10pfaGFx1nZ0NMLNA,804215,new_entry,original,,,"On December 18, 2020, the government of the Democratic Republic of the Congo imposed a nationwide curfew from 9pm to 5am. No end date has been announced. During curfew, only the movement of persons with special authorization from the provincial authority, with the exception of persons in a health emergency, will be permitted.",2020-12-15,2020-12-18,,Democratic Republic of the Congo,COD,CD,National,1,,,Curfew,,,"",Democratic Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,https://mailchi.mp/2630ad30103b/le-chef-de-letat-prside-kinshasa-la-runion-du-comit-de-riposte-contre-la-covid-19 ; https://www.osac.gov/Country/CongoDemocraticRepublic/Content/Detail/Report/870a45ad-e38f-4ed5-8aa0-1a7060c0ad60 ; https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/,2020-12-27,2020-12-27T15:17:08Z
R_1ptGbi9Y8B8U1g1NA,3311093,new_entry,correction,,,"On 24 March 2020, the President of the Democratic Republic of the Congo declared a 30-day long State of Emergency to control the spread of COVID-19.",2020-03-25,2020-03-24,2020-05-08,Democratic Republic of the Congo,COD,CD,National,0,,,Declaration of Emergency,,,"",Democratic Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",55.0407165980274,53.911089833602,52.4720671441733,171,NA,2020-10-14,2020-10-14T15:16:05Z
R_3e2Icpg2uRFNao9NA,3311093,update,correction,Change of Policy,Strengthening,The Democratic Republic of the Congo has declared a national state of heath emergency on March 24th.,2020-04-23,2020-04-25,2020-05-08,Democratic Republic of the Congo,COD,CD,National,0,,,Declaration of Emergency,,,"",Democratic Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",59.1106216364773,54.1332053348425,48.456317755929,154,NA ; https://www.radiookapi.net/2020/04/24/actualite/politique/covid-19-le-parlement-de-la-rdc-proroge-letat-durgence-de-15-jours ; Radio Okapi ; COVID-10: le Parlement de la RDC proroge l'Etat d'urgence de 15 jours ; https://www.stopcoronavirusrdc.info/directives-prises-par-le-gouvernement,2020-12-22,2020-12-22T15:53:58Z
R_2ab5GLAhAyK6EZUNA,1104079,update,correction,Change of Policy,Strengthening,"The Democratic Republic of the Congo has declared a national state of health emergency on March 24th. UPDATE: On May 7, 2020, the Parliament of the Democratic Republic of the Congo announced the second 15-day extension on the March 24 Declaration of State of Emergency from May 8 to May 22.",2020-05-07,2020-05-08,2020-07-05,Democratic Republic of the Congo,COD,CD,National,0,,,Declaration of Emergency,,,"",,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),,,,,,https://www.worldaware.com/covid-19-alert-drc-extends-state-health-emergency-may-8-15-days,2020-12-24,2020-12-24T14:58:05Z
R_zegEhYm9KVQ4SrfNA,1104079,update,correction,Change of Policy,Strengthening,The Democratic Republic of the Congo has declared a national state of health emergency on March 24th.,2020-05-07,2020-05-08,2020-07-05,Democratic Republic of the Congo,COD,CD,,0,,,Declaration of Emergency,,,"",,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),,,,,,NA,2020-12-22,2020-12-22T15:56:28Z
R_3fOAmPGcwe2FQRqNA,1104079,update,correction,Change of Policy,Strengthening,The Democratic Republic of the Congo has declared a national state of health emergency on March 24.,2020-05-22,2020-05-22,2020-07-05,Democratic Republic of the Congo,COD,CD,National,0,,,Declaration of Emergency,,,"",,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),,,,,,NA,2020-12-22,2020-12-22T16:04:41Z
R_RPpOwbhxBGDd23DNA,1104079,update,correction,Change of Policy,Strengthening,The Democratic Republic of the Congo has declared a national state of health emergency on March 24.,2020-06-05,2020-06-05,2020-07-05,Democratic Republic of the Congo,COD,CD,National,0,,,Declaration of Emergency,,,"",,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),,,,,,NA,2020-12-22,2020-12-22T16:08:37Z
R_3kqcHOzQCPHMDbONA,1104079,update,correction,Change of Policy,Strengthening,The Democratic Republic of the Congo has declared a national state of health emergency on March 24.,2020-06-20,2020-06-20,2020-07-05,Democratic Republic of the Congo,COD,CD,National,0,,,Declaration of Emergency,,,"",,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),,,,,,NA,2020-12-22,2020-12-22T16:12:54Z
R_1gA44GM4osam4T6NA,6363974,update,correction,End of Policy,Strengthening,The Democratic Republic of the Congo has declared a national state of health emergency on March 24.,2020-07-05,2020-07-05,2020-10-21,Democratic Republic of the Congo,COD,CD,National,0,,,Declaration of Emergency,,,"",,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),,,,,,NA,2020-12-22,2020-12-22T16:18:49Z
R_2tMdpaROU24RX4gNA,6363974,update,correction,End of Policy,Strengthening,"The Democratic Republic of the Congo has declared a national state of health emergency on March 24. END: On July 21, 2020, the President of the Democratic Republic of the Congo lifts the March 24 Declaration of State of Emergency.",2020-07-21,2020-07-21,2020-10-21,Democratic Republic of the Congo,COD,CD,,1,,,Declaration of Emergency,,,"",,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),,,,,,NA ; https://www.ingsa.org/covid/policymaking-tracker/africa/democratic-republic-of-the-congo/ ; International Network for Government Science Advice ; Democratic Republic of the Congo COVID-19 Policy-Making Tracker,2020-12-18,2020-12-18T12:41:51Z
R_pgglInhUsHm8uWJNA,5668157,new_entry,correction,,,"On March 20, 2020, the Democratic Republic of the Congo imposed external border restrictions on all flights from at-risk countries and transit countries. Only aircraft and cargo ships and other means of freight transport will be allowed access to the national territory and their personnel subject to controls",2020-03-18,2020-03-20,,Democratic Republic of the Congo,COD,CD,National,0,,,External Border Restrictions,,,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,All kinds of transport,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,54.9493063484291,53.6180135097645,52.5946232676916,170,"NA ; https://presidence.cd/actualite-detail/actualite/mesures_concernant_lacces_au_territoire_national_et_les_rassemblements_en_rdc ; Présidence de la république, République Démocratique du Congo ; Mesures concernant l’accès au territoire national et les rassemblements en RDC",2020-12-27,2020-12-27T16:48:48Z
R_2X7pJBPFfb3lzsJNA,4648011,new_entry,correction,,,"With the March 24 State of Emergency, the President of the Democratic Republic of Congo also closed all borders of the country to passengers and any person, except for cargo ships and other means of freight transport that are authorized to enter the national territory. Their personnel are, however, subject to the necessary public health controls.",2020-03-24,2020-03-24,2020-05-22,Democratic Republic of the Congo,COD,CD,National,0,,,External Border Restrictions,,,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),National Government,55.0407165980274,53.911089833602,52.4720671441733,171,"NA ; https://www.facebook.com/107142550625947/posts/209853237021544/?d=n&_rdc=2&_rdr ; La Présidence RDC ; Message à la nation de S.E.M. Felix-Antoine Tshisekedi Tshilombo President de la Republique... Relatif à la Pandemie du coronavirus, COVID-19 ; https://www.reuters.com/article/us-health-coronavirus-congo-idUSKBN21B3GT",2020-12-27,2020-12-27T17:27:05Z
R_1pzmQUbLD6prysLNA,4648011,update,original,Change of Policy,Strengthening,"With the March 24 State of Emergency, the President of the Democratic Republic of Congo also closed all borders of the country to passengers and any person, except for cargo ships and other means of freight transport that are authorized to enter the national territory. Their personnel are, however, subject to the necessary public health controls.",2020-04-23,2020-04-25,2020-05-22,Democratic Republic of the Congo,COD,CD,National,0,,,External Border Restrictions,,,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),National Government,59.1106216364773,54.1332053348425,48.456317755929,154,"https://www.stopcoronavirusrdc.info/directives-prises-par-le-gouvernement ; https://www.aa.com.tr/en/africa/dr-congo-extends-state-of-emergency-amid-covid-19/1816681# ; https://www.radiookapi.net/2020/04/24/actualite/politique/covid-19-le-parlement-de-la-rdc-proroge-letat-durgence-de-15-jours ; https://www.facebook.com/107142550625947/posts/209853237021544/?d=n&_rdc=2&_rdr ; La Présidence RDC ; Message à la nation de S.E.M. Felix-Antoine Tshisekedi Tshilombo President de la Republique... Relatif à la Pandemie du coronavirus, COVID-19 ; https://www.reuters.com/article/us-health-coronavirus-congo-idUSKBN21B3GT",2020-12-28,2020-12-28T16:08:18Z
