"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_a3k12UxMsYISue5Df","8282627","new_entry","original",NA,NA,"Sierre Leone is indefinitely closing schools and all other learning institutions as of 31st March after recording of the country's first case of the Coronavirus.",2020-03-31,2020-03-31,NA,"Sierra Leone","SLE","SL","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Sierra Leone",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6697369843467,51.2931282874883,50.1304755720482,41,"https://www.africanews.com/2020/03/31/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/",2020-03-31,2020-03-31 13:17:06
"2","R_a3k12UxMsYISue5Dh","8282627","new_entry","original",NA,NA,"Sierre Leone is indefinitely closing schools and all other learning institutions as of 31st March after recording of the country's first case of the Coronavirus.",2020-03-31,2020-03-31,NA,"Sierra Leone","SLE","SL","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Sierra Leone",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6697369843467,51.2931282874883,50.1304755720482,41,"https://www.africanews.com/2020/03/31/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/",2020-03-31,2020-03-31 13:17:06
"3","R_a3k12UxMsYISue5Ed","8282627","new_entry","original",NA,NA,"Sierre Leone is indefinitely closing schools and all other learning institutions as of 31st March after recording of the country's first case of the Coronavirus.",2020-03-31,2020-03-31,NA,"Sierra Leone","SLE","SL","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Sierra Leone",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6697369843467,51.2931282874883,50.1304755720482,41,"https://www.africanews.com/2020/03/31/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/",2020-03-31,2020-03-31 13:17:06
"4","R_a3k12UxMsYISue5Bo","8282627","new_entry","original",NA,NA,"Sierre Leone is indefinitely closing schools and all other learning institutions as of 31st March after recording of the country's first case of the Coronavirus.",2020-03-31,2020-03-31,NA,"Sierra Leone","SLE","SL","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Sierra Leone",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6697369843467,51.2931282874883,50.1304755720482,41,"https://www.africanews.com/2020/03/31/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/",2020-03-31,2020-03-31 13:17:06
"5","R_SHO4tsVu51pmssVNA","3434741","new_entry","original",NA,NA,"Sierre leone is calling a 12 month state of Public health emergency as of March 24th despite having not recorded any cases of the Coronavirus at that time.",2020-03-24,2020-03-24,2021-03-24,"Sierra Leone","SLE","SL","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Sierra Leone",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",50.7685474177242,49.509688551605,47.8279005111491,23,"https://www.africanews.com/2020/03/31/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/",2020-04-01,2020-04-01 14:24:26
"6","R_3MJz6VdStBe2UJqNA","9535192","new_entry","original",NA,NA,"On March 27th, the government of Sierre Leone announced the the country will be closing its borders fo3 30 days with the exception of cargo vehicles which will be inspected and monitored.",2020-03-27,2020-04-27,2020-04-26,"Sierra Leone","SLE","SL","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)","Inbound/Outbound","Land Border","Mandatory (Unspecified/Implied)","National Government,Police",53.1318616811361,51.9357118767201,50.7694934473187,48,"https://www.africanews.com/2020/04/02/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/",2020-04-02,2020-04-02 13:24:46
"7","R_3GCdpMCFpXe7KaQNA","5622769","new_entry","original",NA,NA,"The government announced on 13th March it was working round the clock to manage any cases that could occur and it had capacity to test any case that may occur in three facilities already.They said they had prepared 34 military hospitals for use of taking care and testing Corona patients Incase the need arises and that they were working closely with who for this",2020-03-13,2020-03-13,NA,"Sierra Leone","SLE","SL","National",0,NA,NA,"Health Testing",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","Ministry/Department of Health",50.8900669176923,48.4200936650274,44.8637424128008,23,"https://www.weforum.org/agenda/2020/03/sierra-leone-ebola-coronavirus-covid19-preparation/",2020-04-21,2020-04-21 13:58:02
"8","R_31oa2Ki9DFeJhXhNA","400618","new_entry","original",NA,NA,"Sierre Leone announces three day nationwide lockdown effective from April 4th.",2020-04-02,2020-04-04,2020-04-06,"Sierra Leone","SLE","SL","National",0,NA,NA,"Other Policy Not Listed Above",NA,"A nationwide lockdown was put in place where citizens are not allowed to leave their homes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military",54.1272411692466,51.4465139391171,49.0453707016309,43,"https://www.africanews.com/2020/04/02/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/",2020-04-04,2020-04-04 12:10:23
"9","R_1kHA2Ah3kx2CqiQNA","4596970","new_entry","original",NA,NA,"On March 16th, Sierre Leone prohibited all overseas travel for Government officials.",2020-03-16,2020-04-16,NA,"Sierra Leone","SLE","SL","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Government officials only as of 16th march were not allowed to take international flights","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",54.3595055682739,51.695613233568,49.0069888397715,45,"https://www.afro.who.int/news/sierra-leone-institutes-additional-covid-19-preparedness-and-response-measures",2020-04-02,2020-04-02 13:15:19
"10","R_2sZQ9kh7aoDv0nBNA","8027199","new_entry","original",NA,NA,"The government created awareness campaigns to educate people on Corona virus how it's spreads and precautionary measures they should take.It released public statements,media adverts and even the ministry of health collaborated with one of the most known artists in the country known as Jimmy B to release a song to educate the public about Corona virus",2020-04-24,2020-04-24,NA,"Sierra Leone","SLE","SL","National",0,NA,NA,"Public Awareness Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Ministry/Department of Health",53.6811479638694,51.7463398753674,49.8066165753871,45,"https://www.youtube.com/watch?v=VShUyJ3iw",2020-04-23,2020-04-23 11:30:33
